source,source_row_id,person_id,reference_year,source_code,level_min,level_max,qa_status,qa_reason
zensus_like_2022,1,P003095,2022,NONE_LOW,1,1,usable,valid_evidence
zensus_like_2022,2,P013814,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,3,P004129,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,4,P022660,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,5,P043965,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,6,P006948,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,7,P012270,2022,BACHELOR_EQ,4,4,usable,valid_evidence
zensus_like_2022,8,P006621,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,9,P037753,2022,BACHELOR_EQ,4,4,usable,valid_evidence
zensus_like_2022,10,P019448,2022,BACHELOR_EQ,4,4,usable,valid_evidence
zensus_like_2022,11,P018905,2022,NONE_LOW,1,1,usable,valid_evidence
zensus_like_2022,12,P041203,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,13,P004694,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,14,P046212,2022,MASTER_EQ,5,5,usable,valid_evidence
zensus_like_2022,15,P023644,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,16,P024234,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,17,P032962,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,18,P000149,2022,MASTER_EQ,5,5,usable,valid_evidence
zensus_like_2022,19,P048374,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,20,P005042,2022,MASTER_EQ,5,5,usable,valid_evidence
zensus_like_2022,21,P027908,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,22,P041589,2022,MASTER_EQ,5,5,usable,valid_evidence
zensus_like_2022,23,P018873,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,24,P004955,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,25,P023062,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,26,P035144,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,27,P021978,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,28,P029357,2022,BACHELOR_EQ,4,4,usable,valid_evidence
zensus_like_2022,29,P005265,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,30,P024621,2022,MASTER_EQ,5,5,usable,valid_evidence
zensus_like_2022,31,P001599,2022,NONE_LOW,1,1,usable,valid_evidence
zensus_like_2022,32,P022571,2022,NONE_LOW,1,1,usable,valid_evidence
zensus_like_2022,33,P042237,2022,MASTER_EQ,5,5,usable,valid_evidence
zensus_like_2022,34,P026832,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,35,P011306,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,36,P039526,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,38,P041493,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,39,P012858,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,40,P033371,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,41,P040482,2022,VOC_POSTSEC,3,3,usable,valid_evidence
zensus_like_2022,42,P019728,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,43,P028178,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,44,P046821,2022,NONE_LOW,1,1,usable,valid_evidence
zensus_like_2022,45,P028585,2022,BACHELOR_EQ,4,4,usable,valid_evidence
zensus_like_2022,46,P008411,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,47,P026594,2022,SCHOOL,2,2,usable,valid_evidence
zensus_like_2022,48,P034181,2022,SCHOOL,2,2,usable,valid_evidence
